Timepoint,Treatment,,Cell Subtype
D0,CTL,Alveolar fibroblast,0.27257859349445757
D0,CTL,AT1,0.16777212429583863
D0,CTL,Capillary-g,0.07791204797383246
D0,CTL,AT1_AT2,0.0714610212611303
D0,CTL,Airway smooth muscle,0.06623659821915319
D0,CTL,AT2,0.0629656550972197
D0,CTL,Alveolar macrophage,0.05774123205524259
D0,CTL,Adventitial fibroblast,0.05165364346719971
D0,CTL,Myofibroblast,0.025940396147555878
D0,CTL,Club,0.01903507177902962
D0,CTL,Vascular smooth muscle,0.01590041795384336
D0,CTL,Arterial EC,0.01580955842267854
D0,CTL,Pericyte,0.015355260766854444
D0,CTL,Venous EC,0.01003997819371252
D0,CTL,ASM MyoF precursor,0.009631110303470834
D0,CTL,Neutrophil,0.00790477921133927
D0,CTL,Capillary-a,0.00781391968017445
D0,CTL,B cell,0.005497001635471561
D0,CTL,Intermediate monocyte,0.005224423041977104
D0,CTL,Ciliated,0.004997274214065055
D0,CTL,Basal,0.004770125386153007
D0,CTL,Lymphatic EC,0.0037706705433399965
D0,CTL,NK cell,0.0033163728875159003
D0,CTL,Interstitial macrophage,0.002907504997274214
D0,CTL,Proliferating fibroblast,0.0026349264037797567
D0,CTL,Proliferateive Cap,0.0022714882791204797
D0,CTL,Proliferating myofibroblast,0.002135198982373251
D0,CTL,Mesothelial,0.001908050154461203
D0,CTL,Monocyte,0.0017717608577139741
D0,CTL,Proliferating pericyte,0.0011811739051426494
D0,CTL,Proliferating vascular smooth muscle,0.0009540250772306015
D0,CTL,Proliferating macrophage,0.0005451571869889151
D0,CTL,T cell,0.00036343812465927677
D0,ETX,Alveolar fibroblast,0.328694146633815
D0,ETX,AT1,0.11287207831124725
D0,ETX,AT2,0.08243990144502897
D0,ETX,Myofibroblast,0.07271758673503363
D0,ETX,Alveolar macrophage,0.06192981287873743
D0,ETX,AT1_AT2,0.055337284411000866
D0,ETX,Neutrophil,0.044616101751348475
D0,ETX,Adventitial fibroblast,0.04128654191915829
D0,ETX,Capillary-g,0.04048744755943264
D0,ETX,Intermediate monocyte,0.027169208230671905
D0,ETX,ASM MyoF precursor,0.019511220616634482
D0,ETX,Pericyte,0.013850968901911167
D0,ETX,Vascular smooth muscle,0.012985283345541719
D0,ETX,Proliferating fibroblast,0.012718918558966504
D0,ETX,Interstitial macrophage,0.012186188985816075
D0,ETX,Club,0.010255044283145769
D0,ETX,Proliferateive Cap,0.009056402743557302
D0,ETX,Ciliated,0.005860025304654725
D0,ETX,NK cell,0.0051941133382166875
D0,ETX,Arterial EC,0.0051941133382166875
D0,ETX,Lymphatic EC,0.003462742225477792
D0,ETX,Venous EC,0.003462742225477792
D0,ETX,B cell,0.0030631950456149696
D0,ETX,Proliferating pericyte,0.0028634214556835587
D0,ETX,Capillary-a,0.0026636478657521474
D0,ETX,Airway smooth muscle,0.0026636478657521474
